state,county,district,school_name
Washington,Demo County 01,Demo District 01,Demo School 001
Oregon,Demo County 02,Demo District 02,Demo School 002
Idaho,Demo County 03,Demo District 03,Demo School 003
Montana,Demo County 04,Demo District 04,Demo School 004
Washington,Demo County 05,Demo District 05,Demo School 005
Oregon,Demo County 06,Demo District 06,Demo School 006
Idaho,Demo County 07,Demo District 07,Demo School 007
Montana,Demo County 08,Demo District 08,Demo School 008
Washington,Demo County 09,Demo District 09,Demo School 009
Oregon,Demo County 10,Demo District 10,Demo School 010
Idaho,Demo County 01,Demo District 11,Demo School 011
Montana,Demo County 02,Demo District 12,Demo School 012
Washington,Demo County 03,Demo District 13,Demo School 013
Oregon,Demo County 04,Demo District 14,Demo School 014
Idaho,Demo County 05,Demo District 15,Demo School 015
Montana,Demo County 06,Demo District 16,Demo School 016
Washington,Demo County 07,Demo District 17,Demo School 017
Oregon,Demo County 08,Demo District 18,Demo School 018
Idaho,Demo County 09,Demo District 19,Demo School 019
Montana,Demo County 10,Demo District 20,Demo School 020
Washington,Demo County 01,Demo District 01,Demo School 021
Oregon,Demo County 02,Demo District 02,Demo School 022
Idaho,Demo County 03,Demo District 03,Demo School 023
Montana,Demo County 04,Demo District 04,Demo School 024
Washington,Demo County 05,Demo District 05,Demo School 025
Oregon,Demo County 06,Demo District 06,Demo School 026
Idaho,Demo County 07,Demo District 07,Demo School 027
Montana,Demo County 08,Demo District 08,Demo School 028
Washington,Demo County 09,Demo District 09,Demo School 029
Oregon,Demo County 10,Demo District 10,Demo School 030
Idaho,Demo County 01,Demo District 11,Demo School 031
Montana,Demo County 02,Demo District 12,Demo School 032
Washington,Demo County 03,Demo District 13,Demo School 033
Oregon,Demo County 04,Demo District 14,Demo School 034
Idaho,Demo County 05,Demo District 15,Demo School 035
Montana,Demo County 06,Demo District 16,Demo School 036
Washington,Demo County 07,Demo District 17,Demo School 037
Oregon,Demo County 08,Demo District 18,Demo School 038
Idaho,Demo County 09,Demo District 19,Demo School 039
Montana,Demo County 10,Demo District 20,Demo School 040
Washington,Demo County 01,Demo District 01,Demo School 041
Oregon,Demo County 02,Demo District 02,Demo School 042
Idaho,Demo County 03,Demo District 03,Demo School 043
Montana,Demo County 04,Demo District 04,Demo School 044
Washington,Demo County 05,Demo District 05,Demo School 045
Oregon,Demo County 06,Demo District 06,Demo School 046
Idaho,Demo County 07,Demo District 07,Demo School 047
Montana,Demo County 08,Demo District 08,Demo School 048
Washington,Demo County 09,Demo District 09,Demo School 049
Oregon,Demo County 10,Demo District 10,Demo School 050
Idaho,Demo County 01,Demo District 11,Demo School 051
Montana,Demo County 02,Demo District 12,Demo School 052
Washington,Demo County 03,Demo District 13,Demo School 053
Oregon,Demo County 04,Demo District 14,Demo School 054
Idaho,Demo County 05,Demo District 15,Demo School 055
Montana,Demo County 06,Demo District 16,Demo School 056
Washington,Demo County 07,Demo District 17,Demo School 057
Oregon,Demo County 08,Demo District 18,Demo School 058
Idaho,Demo County 09,Demo District 19,Demo School 059
Montana,Demo County 10,Demo District 20,Demo School 060
Washington,Demo County 01,Demo District 01,Demo School 061
Oregon,Demo County 02,Demo District 02,Demo School 062
Idaho,Demo County 03,Demo District 03,Demo School 063
Montana,Demo County 04,Demo District 04,Demo School 064
Washington,Demo County 05,Demo District 05,Demo School 065
Oregon,Demo County 06,Demo District 06,Demo School 066
Idaho,Demo County 07,Demo District 07,Demo School 067
Montana,Demo County 08,Demo District 08,Demo School 068
Washington,Demo County 09,Demo District 09,Demo School 069
Oregon,Demo County 10,Demo District 10,Demo School 070
Idaho,Demo County 01,Demo District 11,Demo School 071
Montana,Demo County 02,Demo District 12,Demo School 072
Washington,Demo County 03,Demo District 13,Demo School 073
Oregon,Demo County 04,Demo District 14,Demo School 074
Idaho,Demo County 05,Demo District 15,Demo School 075
Montana,Demo County 06,Demo District 16,Demo School 076
Washington,Demo County 07,Demo District 17,Demo School 077
Oregon,Demo County 08,Demo District 18,Demo School 078
Idaho,Demo County 09,Demo District 19,Demo School 079
Montana,Demo County 10,Demo District 20,Demo School 080
Washington,Demo County 01,Demo District 01,Demo School 081
Oregon,Demo County 02,Demo District 02,Demo School 082
Idaho,Demo County 03,Demo District 03,Demo School 083
Montana,Demo County 04,Demo District 04,Demo School 084
Washington,Demo County 05,Demo District 05,Demo School 085
Oregon,Demo County 06,Demo District 06,Demo School 086
Idaho,Demo County 07,Demo District 07,Demo School 087
Montana,Demo County 08,Demo District 08,Demo School 088
Washington,Demo County 09,Demo District 09,Demo School 089
Oregon,Demo County 10,Demo District 10,Demo School 090
Idaho,Demo County 01,Demo District 11,Demo School 091
Montana,Demo County 02,Demo District 12,Demo School 092
Washington,Demo County 03,Demo District 13,Demo School 093
Oregon,Demo County 04,Demo District 14,Demo School 094
Idaho,Demo County 05,Demo District 15,Demo School 095
Montana,Demo County 06,Demo District 16,Demo School 096
Washington,Demo County 07,Demo District 17,Demo School 097
Oregon,Demo County 08,Demo District 18,Demo School 098
Idaho,Demo County 09,Demo District 19,Demo School 099
Montana,Demo County 10,Demo District 20,Demo School 100
